icd10,icd10_3,title,chapter_number,chapter_title,block_title
"B380","B38","Acute pulmonary coccidioidomycosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B381","B38","Chronic pulmonary coccidioidomycosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B382","B38","Pulmonary coccidioidomycosis, unspecified",1,"Certain infectious and parasitic diseases","Mycoses"
"B383","B38","Cutaneous coccidioidomycosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B384","B38","Coccidioidomycosis meningitis",1,"Certain infectious and parasitic diseases","Mycoses"
"B387","B38","Disseminated coccidioidomycosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B388","B38","Other forms of coccidioidomycosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B389","B38","Coccidioidomycosis, unspecified",1,"Certain infectious and parasitic diseases","Mycoses"
"B39","B39","Histoplasmosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B390","B39","Acute pulmonary histoplasmosis capsulati",1,"Certain infectious and parasitic diseases","Mycoses"
"B391","B39","Chronic pulmonary histoplasmosis capsulati",1,"Certain infectious and parasitic diseases","Mycoses"
"B392","B39","Pulmonary histoplasmosis capsulati, unspecified",1,"Certain infectious and parasitic diseases","Mycoses"
"B393","B39","Disseminated histoplasmosis capsulati",1,"Certain infectious and parasitic diseases","Mycoses"
"B394","B39","Histoplasmosis capsulati, unspecified",1,"Certain infectious and parasitic diseases","Mycoses"
"B395","B39","Histoplasmosis duboisii",1,"Certain infectious and parasitic diseases","Mycoses"
"B399","B39","Histoplasmosis, unspecified",1,"Certain infectious and parasitic diseases","Mycoses"
"B40","B40","Blastomycosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B400","B40","Acute pulmonary blastomycosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B401","B40","Chronic pulmonary blastomycosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B402","B40","Pulmonary blastomycosis, unspecified",1,"Certain infectious and parasitic diseases","Mycoses"
"B403","B40","Cutaneous blastomycosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B407","B40","Disseminated blastomycosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B408","B40","Other forms of blastomycosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B409","B40","Blastomycosis, unspecified",1,"Certain infectious and parasitic diseases","Mycoses"
"B41","B41","Paracoccidioidomycosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B410","B41","Pulmonary paracoccidioidomycosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B417","B41","Disseminated paracoccidioidomycosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B418","B41","Other forms of paracoccidioidomycosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B419","B41","Paracoccidioidomycosis, unspecified",1,"Certain infectious and parasitic diseases","Mycoses"
"B42","B42","Sporotrichosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B420","B42","Pulmonary sporotrichosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B421","B42","Lymphocutaneous sporotrichosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B427","B42","Disseminated sporotrichosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B428","B42","Other forms of sporotrichosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B429","B42","Sporotrichosis, unspecified",1,"Certain infectious and parasitic diseases","Mycoses"
"B43","B43","Chromomycosis and phaeomycotic abscess",1,"Certain infectious and parasitic diseases","Mycoses"
"B430","B43","Cutaneous chromomycosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B431","B43","Phaeomycotic brain abscess",1,"Certain infectious and parasitic diseases","Mycoses"
"B432","B43","Subcutaneous phaeomycotic abscess and cyst",1,"Certain infectious and parasitic diseases","Mycoses"
"B438","B43","Other forms of chromomycosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B439","B43","Chromomycosis, unspecified",1,"Certain infectious and parasitic diseases","Mycoses"
"B44","B44","Aspergillosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B440","B44","Invasive pulmonary aspergillosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B441","B44","Other pulmonary aspergillosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B442","B44","Tonsillar aspergillosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B447","B44","Disseminated aspergillosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B448","B44","Other forms of aspergillosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B449","B44","Aspergillosis, unspecified",1,"Certain infectious and parasitic diseases","Mycoses"
"B45","B45","Cryptococcosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B450","B45","Pulmonary cryptococcosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B451","B45","Cerebral cryptococcosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B452","B45","Cutaneous cryptococcosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B453","B45","Osseous cryptococcosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B457","B45","Disseminated cryptococcosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B458","B45","Other forms of cryptococcosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B459","B45","Cryptococcosis, unspecified",1,"Certain infectious and parasitic diseases","Mycoses"
"B46","B46","Zygomycosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B460","B46","Pulmonary mucormycosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B461","B46","Rhinocerebral mucormycosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B462","B46","Gastrointestinal mucormycosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B463","B46","Cutaneous mucormycosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B464","B46","Disseminated mucormycosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B465","B46","Mucormycosis, unspecified",1,"Certain infectious and parasitic diseases","Mycoses"
"B468","B46","Other zygomycoses",1,"Certain infectious and parasitic diseases","Mycoses"
"B469","B46","Zygomycosis, unspecified",1,"Certain infectious and parasitic diseases","Mycoses"
"B47","B47","Mycetoma",1,"Certain infectious and parasitic diseases","Mycoses"
"B470","B47","Eumycetoma",1,"Certain infectious and parasitic diseases","Mycoses"
"B471","B47","Actinomycetoma",1,"Certain infectious and parasitic diseases","Mycoses"
"B479","B47","Mycetoma, unspecified",1,"Certain infectious and parasitic diseases","Mycoses"
"B48","B48","Other mycoses, not elsewhere classified",1,"Certain infectious and parasitic diseases","Mycoses"
"B480","B48","Lobomycosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B481","B48","Rhinosporidiosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B482","B48","Allescheriasis",1,"Certain infectious and parasitic diseases","Mycoses"
"B483","B48","Geotrichosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B484","B48","Penicillosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B487","B48","Opportunistic mycoses",1,"Certain infectious and parasitic diseases","Mycoses"
"B488","B48","Other specified mycoses",1,"Certain infectious and parasitic diseases","Mycoses"
"B49","B49","Unspecified mycosis",1,"Certain infectious and parasitic diseases","Mycoses"
"B50","B50","Plasmodium falciparum malaria",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B500","B50","Plasmodium falciparum malaria with cerebral complications",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B508","B50","Other severe and complicated Plasmodium falciparum malaria",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B509","B50","Plasmodium falciparum malaria, unspecified",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B51","B51","Plasmodium vivax malaria",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B510","B51","Plasmodium vivax malaria with rupture of spleen",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B518","B51","Plasmodium vivax malaria with other complications",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B519","B51","Plasmodium vivax malaria without complication",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B52","B52","Plasmodium malariae malaria",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B520","B52","Plasmodium malariae malaria with nephropathy",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B528","B52","Plasmodium malariae malaria with other complications",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B529","B52","Plasmodium malariae malaria without complication",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B53","B53","Other parasitologically confirmed malaria",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B530","B53","Plasmodium ovale malaria",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B531","B53","Malaria due to simian plasmodia",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B538","B53","Other parasitologically confirmed malaria, not elsewhere classified",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B54","B54","Unspecified malaria",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B55","B55","Leishmaniasis",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B550","B55","Visceral leishmaniasis",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B551","B55","Cutaneous leishmaniasis",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B552","B55","Mucocutaneous leishmaniasis",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B559","B55","Leishmaniasis, unspecified",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B56","B56","African trypanosomiasis",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B560","B56","Gambiense trypanosomiasis",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B561","B56","Rhodesiense trypanosomiasis",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B569","B56","African trypanosomiasis, unspecified",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B57","B57","Chagas disease",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B570","B57","Acute Chagas disease with heart involvement",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B571","B57","Acute Chagas disease without heart involvement",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B572","B57","Chagas disease (chronic) with heart involvement",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B573","B57","Chagas disease (chronic) with digestive system involvement",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B574","B57","Chagas disease (chronic) with nervous system involvement",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B575","B57","Chagas disease (chronic) with other organ involvement",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B58","B58","Toxoplasmosis",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B580","B58","Toxoplasma oculopathy",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B581","B58","Toxoplasma hepatitis",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B582","B58","Toxoplasma meningoencephalitis",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B583","B58","Pulmonary toxoplasmosis",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B588","B58","Toxoplasmosis with other organ involvement",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B589","B58","Toxoplasmosis, unspecified",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B59","B59","Pneumocystosis",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B60","B60","Other protozoal diseases, not elsewhere classified",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B600","B60","Babesiosis",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B601","B60","Acanthamoebiasis",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B602","B60","Naegleriasis",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B608","B60","Other specified protozoal diseases",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B64","B64","Unspecified protozoal disease",1,"Certain infectious and parasitic diseases","Protozoal diseases"
"B65","B65","Schistosomiasis [bilharziasis]",1,"Certain infectious and parasitic diseases","Helminthiases"
"B650","B65","Schistosomiasis due to Schistosoma haematobium [urinary schistosomiasis]",1,"Certain infectious and parasitic diseases","Helminthiases"
"B651","B65","Schistosomiasis due to Schistosoma mansoni [intestinal schistosomiasis]",1,"Certain infectious and parasitic diseases","Helminthiases"
"B652","B65","Schistosomiasis due to Schistosoma japonicum",1,"Certain infectious and parasitic diseases","Helminthiases"
"B653","B65","Cercarial dermatitis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B658","B65","Other schistosomiases",1,"Certain infectious and parasitic diseases","Helminthiases"
"B659","B65","Schistosomiasis, unspecified",1,"Certain infectious and parasitic diseases","Helminthiases"
"B66","B66","Other fluke infections",1,"Certain infectious and parasitic diseases","Helminthiases"
"B660","B66","Opisthorchiasis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B661","B66","Clonorchiasis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B662","B66","Dicrocoeliasis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B663","B66","Fascioliasis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B664","B66","Paragonimiasis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B665","B66","Fasciolopsiasis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B668","B66","Other specified fluke infections",1,"Certain infectious and parasitic diseases","Helminthiases"
"B669","B66","Fluke infection, unspecified",1,"Certain infectious and parasitic diseases","Helminthiases"
"B67","B67","Echinococcosis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B670","B67","Echinococcus granulosus infection of liver",1,"Certain infectious and parasitic diseases","Helminthiases"
"B671","B67","Echinococcus granulosus infection of lung",1,"Certain infectious and parasitic diseases","Helminthiases"
"B672","B67","Echinococcus granulosus infection of bone",1,"Certain infectious and parasitic diseases","Helminthiases"
"B673","B67","Echinococcus granulosus infection, other and multiple sites",1,"Certain infectious and parasitic diseases","Helminthiases"
"B674","B67","Echinococcus granulosus infection, unspecified",1,"Certain infectious and parasitic diseases","Helminthiases"
"B675","B67","Echinococcus multilocularis infection of liver",1,"Certain infectious and parasitic diseases","Helminthiases"
"B676","B67","Echinococcus multilocularis infection, other and multiple sites",1,"Certain infectious and parasitic diseases","Helminthiases"
"B677","B67","Echinococcus multilocularis infection, unspecified",1,"Certain infectious and parasitic diseases","Helminthiases"
"B678","B67","Echinococcosis, unspecified, of liver",1,"Certain infectious and parasitic diseases","Helminthiases"
"B679","B67","Echinococcosis, other and unspecified",1,"Certain infectious and parasitic diseases","Helminthiases"
"B68","B68","Taeniasis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B680","B68","Taenia solium taeniasis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B681","B68","Taenia saginata taeniasis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B689","B68","Taeniasis, unspecified",1,"Certain infectious and parasitic diseases","Helminthiases"
"B69","B69","Cysticercosis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B690","B69","Cysticercosis of central nervous system",1,"Certain infectious and parasitic diseases","Helminthiases"
"B691","B69","Cysticercosis of eye",1,"Certain infectious and parasitic diseases","Helminthiases"
"B698","B69","Cysticercosis of other sites",1,"Certain infectious and parasitic diseases","Helminthiases"
"B699","B69","Cysticercosis, unspecified",1,"Certain infectious and parasitic diseases","Helminthiases"
"B70","B70","Diphyllobothriasis and sparganosis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B700","B70","Diphyllobothriasis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B701","B70","Sparganosis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B71","B71","Other cestode infections",1,"Certain infectious and parasitic diseases","Helminthiases"
"B710","B71","Hymenolepiasis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B711","B71","Dipylidiasis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B718","B71","Other specified cestode infections",1,"Certain infectious and parasitic diseases","Helminthiases"
"B719","B71","Cestode infection, unspecified",1,"Certain infectious and parasitic diseases","Helminthiases"
"B72","B72","Dracunculiasis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B73","B73","Onchocerciasis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B74","B74","Filariasis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B740","B74","Filariasis due to Wuchereria bancrofti",1,"Certain infectious and parasitic diseases","Helminthiases"
"B741","B74","Filariasis due to Brugia malayi",1,"Certain infectious and parasitic diseases","Helminthiases"
"B742","B74","Filariasis due to Brugia timori",1,"Certain infectious and parasitic diseases","Helminthiases"
"B743","B74","Loiasis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B744","B74","Mansonelliasis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B748","B74","Other filariases",1,"Certain infectious and parasitic diseases","Helminthiases"
"B749","B74","Filariasis, unspecified",1,"Certain infectious and parasitic diseases","Helminthiases"
"B75","B75","Trichinellosis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B76","B76","Hookworm diseases",1,"Certain infectious and parasitic diseases","Helminthiases"
"B760","B76","Ancylostomiasis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B761","B76","Necatoriasis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B768","B76","Other hookworm diseases",1,"Certain infectious and parasitic diseases","Helminthiases"
"B769","B76","Hookworm disease, unspecified",1,"Certain infectious and parasitic diseases","Helminthiases"
"B77","B77","Ascariasis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B770","B77","Ascariasis with intestinal complications",1,"Certain infectious and parasitic diseases","Helminthiases"
"B778","B77","Ascariasis with other complications",1,"Certain infectious and parasitic diseases","Helminthiases"
"B779","B77","Ascariasis, unspecified",1,"Certain infectious and parasitic diseases","Helminthiases"
"B78","B78","Strongyloidiasis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B780","B78","Intestinal strongyloidiasis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B781","B78","Cutaneous strongyloidiasis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B787","B78","Disseminated strongyloidiasis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B789","B78","Strongyloidiasis, unspecified",1,"Certain infectious and parasitic diseases","Helminthiases"
"B79","B79","Trichuriasis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B80","B80","Enterobiasis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B81","B81","Other intestinal helminthiases, not elsewhere classified",1,"Certain infectious and parasitic diseases","Helminthiases"
"B810","B81","Anisakiasis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B811","B81","Intestinal capillariasis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B812","B81","Trichostrongyliasis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B813","B81","Intestinal angiostrongyliasis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B814","B81","Mixed intestinal helminthiases",1,"Certain infectious and parasitic diseases","Helminthiases"
"B818","B81","Other specified intestinal helminthiases",1,"Certain infectious and parasitic diseases","Helminthiases"
"B82","B82","Unspecified intestinal parasitism",1,"Certain infectious and parasitic diseases","Helminthiases"
"B820","B82","Intestinal helminthiasis, unspecified",1,"Certain infectious and parasitic diseases","Helminthiases"
"B829","B82","Intestinal parasitism, unspecified",1,"Certain infectious and parasitic diseases","Helminthiases"
"B83","B83","Other helminthiases",1,"Certain infectious and parasitic diseases","Helminthiases"
"B830","B83","Visceral larva migrans",1,"Certain infectious and parasitic diseases","Helminthiases"
"B831","B83","Gnathostomiasis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B832","B83","Angiostrongyliasis due to Parastrongylus cantonensis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B833","B83","Syngamiasis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B834","B83","Internal hirudiniasis",1,"Certain infectious and parasitic diseases","Helminthiases"
"B838","B83","Other specified helminthiases",1,"Certain infectious and parasitic diseases","Helminthiases"
"B839","B83","Helminthiasis, unspecified",1,"Certain infectious and parasitic diseases","Helminthiases"
"B85","B85","Pediculosis and phthiriasis",1,"Certain infectious and parasitic diseases","Pediculosis, acariasis and other infestations"
"B850","B85","Pediculosis due to Pediculus humanus capitis",1,"Certain infectious and parasitic diseases","Pediculosis, acariasis and other infestations"
"B851","B85","Pediculosis due to Pediculus humanus corporis",1,"Certain infectious and parasitic diseases","Pediculosis, acariasis and other infestations"
"B852","B85","Pediculosis, unspecified",1,"Certain infectious and parasitic diseases","Pediculosis, acariasis and other infestations"
"B853","B85","Phthiriasis",1,"Certain infectious and parasitic diseases","Pediculosis, acariasis and other infestations"
"B854","B85","Mixed pediculosis and phthiriasis",1,"Certain infectious and parasitic diseases","Pediculosis, acariasis and other infestations"
"B86","B86","Scabies",1,"Certain infectious and parasitic diseases","Pediculosis, acariasis and other infestations"
"B87","B87","Myiasis",1,"Certain infectious and parasitic diseases","Pediculosis, acariasis and other infestations"
"B870","B87","Cutaneous myiasis",1,"Certain infectious and parasitic diseases","Pediculosis, acariasis and other infestations"
"B871","B87","Wound myiasis",1,"Certain infectious and parasitic diseases","Pediculosis, acariasis and other infestations"
"B872","B87","Ocular myiasis",1,"Certain infectious and parasitic diseases","Pediculosis, acariasis and other infestations"
"B873","B87","Nasopharyngeal myiasis",1,"Certain infectious and parasitic diseases","Pediculosis, acariasis and other infestations"
"B874","B87","Aural myiasis",1,"Certain infectious and parasitic diseases","Pediculosis, acariasis and other infestations"
"B878","B87","Myiasis of other sites",1,"Certain infectious and parasitic diseases","Pediculosis, acariasis and other infestations"
"B879","B87","Myiasis, unspecified",1,"Certain infectious and parasitic diseases","Pediculosis, acariasis and other infestations"
"B88","B88","Other infestations",1,"Certain infectious and parasitic diseases","Pediculosis, acariasis and other infestations"
"B880","B88","Other acariasis",1,"Certain infectious and parasitic diseases","Pediculosis, acariasis and other infestations"
"B881","B88","Tungiasis [sandflea infestation]",1,"Certain infectious and parasitic diseases","Pediculosis, acariasis and other infestations"
"B882","B88","Other arthropod infestations",1,"Certain infectious and parasitic diseases","Pediculosis, acariasis and other infestations"
"B883","B88","External hirudiniasis",1,"Certain infectious and parasitic diseases","Pediculosis, acariasis and other infestations"
"B888","B88","Other specified infestations",1,"Certain infectious and parasitic diseases","Pediculosis, acariasis and other infestations"
"B889","B88","Infestation, unspecified",1,"Certain infectious and parasitic diseases","Pediculosis, acariasis and other infestations"
"B89","B89","Unspecified parasitic disease",1,"Certain infectious and parasitic diseases","Pediculosis, acariasis and other infestations"
"B90","B90","Sequelae of tuberculosis",1,"Certain infectious and parasitic diseases","Sequelae of infectious and parasitic diseases"
"B900","B90","Sequelae of central nervous system tuberculosis",1,"Certain infectious and parasitic diseases","Sequelae of infectious and parasitic diseases"
"B901","B90","Sequelae of genitourinary tuberculosis",1,"Certain infectious and parasitic diseases","Sequelae of infectious and parasitic diseases"
"B902","B90","Sequelae of tuberculosis of bones and joints",1,"Certain infectious and parasitic diseases","Sequelae of infectious and parasitic diseases"
"B908","B90","Sequelae of tuberculosis of other organs",1,"Certain infectious and parasitic diseases","Sequelae of infectious and parasitic diseases"
"B909","B90","Sequelae of respiratory and unspecified tuberculosis",1,"Certain infectious and parasitic diseases","Sequelae of infectious and parasitic diseases"
"B91","B91","Sequelae of poliomyelitis",1,"Certain infectious and parasitic diseases","Sequelae of infectious and parasitic diseases"
"B92","B92","Sequelae of leprosy",1,"Certain infectious and parasitic diseases","Sequelae of infectious and parasitic diseases"
"B94","B94","Sequelae of other and unspecified infectious and parasitic diseases",1,"Certain infectious and parasitic diseases","Sequelae of infectious and parasitic diseases"
"B940","B94","Sequelae of trachoma",1,"Certain infectious and parasitic diseases","Sequelae of infectious and parasitic diseases"
"B941","B94","Sequelae of viral encephalitis",1,"Certain infectious and parasitic diseases","Sequelae of infectious and parasitic diseases"
"B942","B94","Sequelae of viral hepatitis",1,"Certain infectious and parasitic diseases","Sequelae of infectious and parasitic diseases"
"B948","B94","Sequelae of other specified infectious and parasitic diseases",1,"Certain infectious and parasitic diseases","Sequelae of infectious and parasitic diseases"
"B949","B94","Sequelae of unspecified infectious or parasitic disease",1,"Certain infectious and parasitic diseases","Sequelae of infectious and parasitic diseases"
"B95","B95","Streptococcus and staphylococcus as the cause of diseases classified to other chapters",1,"Certain infectious and parasitic diseases","Bacterial, viral and other infectious agents"
"B950","B95","Streptococcus, group A, as the cause of diseases classified to other chapters",1,"Certain infectious and parasitic diseases","Bacterial, viral and other infectious agents"
"B951","B95","Streptococcus, group B, as the cause of diseases classified to other chapters",1,"Certain infectious and parasitic diseases","Bacterial, viral and other infectious agents"
"B952","B95","Streptococcus, group D, as the cause of diseases classified to other chapters",1,"Certain infectious and parasitic diseases","Bacterial, viral and other infectious agents"
"B953","B95","Streptococcus pneumoniae as the cause of diseases classified to other chapters",1,"Certain infectious and parasitic diseases","Bacterial, viral and other infectious agents"
"B954","B95","Other streptococcus as the cause of diseases classified to other chapters",1,"Certain infectious and parasitic diseases","Bacterial, viral and other infectious agents"
"B955","B95","Unspecified streptococcus as the cause of diseases classified to other chapters",1,"Certain infectious and parasitic diseases","Bacterial, viral and other infectious agents"
"B956","B95","Staphylococcus aureus as the cause of diseases classified to other chapters",1,"Certain infectious and parasitic diseases","Bacterial, viral and other infectious agents"
"B957","B95","Other staphylococcus as the cause of diseases classified to other chapters",1,"Certain infectious and parasitic diseases","Bacterial, viral and other infectious agents"
"B958","B95","Unspecified staphylococcus as the cause of diseases classified to other chapters",1,"Certain infectious and parasitic diseases","Bacterial, viral and other infectious agents"
"B96","B96","Other specified bacterial agents as the cause of diseases classified to other chapters",1,"Certain infectious and parasitic diseases","Bacterial, viral and other infectious agents"
"B960","B96","Mycoplasma pneumoniae [M. pneumoniae] as the cause of diseases classified to other chapters",1,"Certain infectious and parasitic diseases","Bacterial, viral and other infectious agents"
"B961","B96","Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified to other chapters",1,"Certain infectious and parasitic diseases","Bacterial, viral and other infectious agents"
"B962","B96","Escherichia coli [E. coli] as the cause of diseases classified to other chapters",1,"Certain infectious and parasitic diseases","Bacterial, viral and other infectious agents"
"B963","B96","Haemophilus influenzae [H. influenzae] as the cause of diseases classified to other chapters",1,"Certain infectious and parasitic diseases","Bacterial, viral and other infectious agents"
"B964","B96","Proteus (mirabilis)(morganii) as the cause of diseases classified to other chapters",1,"Certain infectious and parasitic diseases","Bacterial, viral and other infectious agents"
"B965","B96","Pseudomonas (aeruginosa) as the cause of diseases classified to other chapters",1,"Certain infectious and parasitic diseases","Bacterial, viral and other infectious agents"
"B966","B96","Bacillus fragilis [B. fragilis] as the cause of diseases classified to other chapters",1,"Certain infectious and parasitic diseases","Bacterial, viral and other infectious agents"
"B967","B96","Clostridium perfringens [C. perfringens] as the cause of diseases classified to other chapters",1,"Certain infectious and parasitic diseases","Bacterial, viral and other infectious agents"
"B968","B96","Other specified bacterial agents as the cause of diseases classified to other chapters",1,"Certain infectious and parasitic diseases","Bacterial, viral and other infectious agents"
"B97","B97","Viral agents as the cause of diseases classified to other chapters",1,"Certain infectious and parasitic diseases","Bacterial, viral and other infectious agents"
"B970","B97","Adenovirus as the cause of diseases classified to other chapters",1,"Certain infectious and parasitic diseases","Bacterial, viral and other infectious agents"
"B971","B97","Enterovirus as the cause of diseases classified to other chapters",1,"Certain infectious and parasitic diseases","Bacterial, viral and other infectious agents"
"B972","B97","Coronavirus as the cause of diseases classified to other chapters",1,"Certain infectious and parasitic diseases","Bacterial, viral and other infectious agents"
"B973","B97","Retrovirus as the cause of diseases classified to other chapters",1,"Certain infectious and parasitic diseases","Bacterial, viral and other infectious agents"
"B974","B97","Respiratory syncytial virus as the cause of diseases classified to other chapters",1,"Certain infectious and parasitic diseases","Bacterial, viral and other infectious agents"
"B975","B97","Reovirus as the cause of diseases classified to other chapters",1,"Certain infectious and parasitic diseases","Bacterial, viral and other infectious agents"
